Date,Open,High,Low,Close,Adj Close,Volume
2016-08-18,34.180000,34.250000,34.139999,34.250000,34.250000,3200
2016-08-19,34.419998,34.459999,34.349998,34.459999,34.459999,1700
2016-08-22,34.099998,34.099998,33.650002,33.799999,33.799999,5000
2016-08-23,33.610001,33.730000,33.509998,33.509998,33.509998,10500
2016-08-24,32.939999,32.939999,32.889999,32.889999,32.889999,6400
2016-08-25,32.900002,33.080002,32.849998,32.880001,32.880001,3100
2016-08-26,32.529999,32.529999,32.240002,32.240002,32.240002,2600
2016-08-29,33.029999,33.169998,33.029999,33.169998,33.169998,4200
2016-08-30,33.650002,33.650002,33.650002,33.650002,33.650002,1300
2016-08-31,33.799999,33.799999,33.790001,33.790001,33.790001,1500
2016-09-01,33.599998,33.599998,33.480000,33.599998,33.599998,2600
2016-09-02,33.650002,33.650002,33.650002,33.650002,33.650002,300
2016-09-06,33.700001,33.880001,33.700001,33.779999,33.779999,1600
2016-09-07,34.549999,34.599998,34.380001,34.380001,34.380001,2500
2016-09-08,34.330002,34.330002,34.040001,34.169998,34.169998,2200
2016-09-09,35.099998,35.150002,34.750000,34.779999,34.779999,1800
2016-09-12,34.549999,35.250000,34.549999,35.240002,35.240002,4000
2016-09-13,35.080002,35.080002,34.250000,34.310001,34.310001,4400
2016-09-14,34.500000,34.509998,34.330002,34.459999,34.459999,1700
2016-09-15,34.549999,34.830002,34.549999,34.830002,34.830002,1800
2016-09-16,34.770000,34.900002,34.770000,34.790001,34.790001,5000
2016-09-19,35.320000,35.599998,35.310001,35.529999,35.529999,44700
2016-09-20,35.700001,35.700001,35.419998,35.590000,35.590000,238600
2016-09-21,35.560001,35.950001,35.560001,35.950001,35.950001,57000
2016-09-22,36.270000,36.480000,36.270000,36.480000,36.480000,6400
2016-09-23,36.209999,36.430000,36.169998,36.299999,36.299999,7100
2016-09-26,36.009998,36.009998,35.650002,35.860001,35.860001,2600
2016-09-27,36.040001,36.040001,35.709999,35.980000,35.980000,3900
2016-09-28,36.430000,36.549999,36.250000,36.279999,36.279999,5400
2016-09-29,35.919998,36.500000,35.869999,35.869999,35.869999,2600
2016-09-30,35.779999,35.880001,35.610001,35.880001,35.880001,4300
2016-10-03,35.689999,35.689999,35.189999,35.189999,35.189999,8100
2016-10-04,35.849998,35.849998,35.509998,35.509998,35.509998,2000
2016-10-05,36.250000,36.250000,36.049999,36.250000,36.250000,2800
2016-10-06,36.070000,36.080002,35.970001,36.080002,36.080002,3100
2016-10-07,37.020000,37.020000,36.150002,36.430000,36.430000,5200
2016-10-10,36.480000,36.480000,36.480000,36.480000,36.480000,1800
2016-10-11,36.189999,36.189999,35.889999,35.889999,35.889999,3000
2016-10-12,35.750000,35.799999,35.639999,35.660000,35.660000,2500
2016-10-13,34.889999,35.070000,34.889999,35.070000,35.070000,3100
2016-10-14,34.500000,34.549999,34.369999,34.549999,34.549999,4200
2016-10-17,34.400002,34.400002,34.349998,34.349998,34.349998,1100
2016-10-18,34.970001,35.169998,34.970001,35.169998,35.169998,1100
2016-10-19,35.150002,35.310001,35.150002,35.310001,35.310001,3700
2016-10-20,36.389999,36.389999,36.209999,36.259998,36.259998,1300
2016-10-21,36.220001,36.439999,36.220001,36.340000,36.340000,2200
2016-10-24,35.930000,35.970001,35.860001,35.970001,35.970001,1000
2016-10-25,35.680000,35.810001,35.680000,35.810001,35.810001,1400
2016-10-26,35.939999,36.330002,35.939999,36.119999,36.119999,1700
2016-10-27,36.930000,37.340000,36.720001,37.209999,37.209999,5500
2016-10-28,38.340000,38.470001,38.340000,38.470001,38.470001,2800
2016-10-31,38.259998,38.400002,38.240002,38.400002,38.400002,5100
2016-11-01,37.950001,37.950001,37.919998,37.950001,37.950001,1200
2016-11-02,37.180000,37.389999,37.160000,37.310001,37.310001,3200
2016-11-03,37.400002,37.400002,37.200001,37.330002,37.330002,12500
2016-11-04,37.279999,37.419998,37.279999,37.349998,37.349998,2100
2016-11-07,38.080002,38.310001,38.080002,38.220001,38.220001,3600
2016-11-08,37.759998,37.759998,37.470001,37.470001,37.470001,1200
2016-11-09,36.619999,37.049999,36.340000,36.700001,36.700001,2800
2016-11-10,36.930000,37.430000,36.840000,37.430000,37.430000,1600
2016-11-11,36.590000,36.700001,36.480000,36.480000,36.480000,2300
2016-11-14,38.330002,38.330002,37.529999,37.689999,37.689999,105300
2016-11-15,37.700001,37.910000,37.320000,37.630001,37.630001,16500
2016-11-16,37.349998,37.959999,37.349998,37.950001,37.950001,2200
2016-11-17,37.810001,37.950001,37.810001,37.950001,37.950001,1300
2016-11-18,37.430000,37.439999,37.299999,37.439999,37.439999,2500
2016-11-21,37.700001,38.700001,37.700001,38.430000,38.430000,11700
2016-11-22,38.500000,38.500000,38.349998,38.349998,38.349998,4200
2016-11-23,38.240002,38.250000,38.240002,38.250000,38.250000,1100
2016-11-25,38.720001,38.720001,38.509998,38.509998,38.509998,700
2016-11-28,38.459999,38.720001,38.450001,38.720001,38.720001,900
2016-11-29,37.230000,38.220001,37.230000,38.200001,38.200001,900
2016-11-30,37.400002,37.869999,37.400002,37.680000,37.680000,5300
2016-12-01,38.430000,38.660000,38.279999,38.419998,38.419998,2400
2016-12-02,38.939999,39.070000,38.939999,39.070000,39.070000,4700
2016-12-05,39.630001,39.740002,39.500000,39.500000,39.500000,1500
2016-12-06,39.730000,39.740002,39.610001,39.610001,39.610001,1900
2016-12-07,40.139999,40.619999,40.139999,40.480000,40.480000,3200
2016-12-08,41.029999,41.099998,40.830002,41.099998,41.099998,2700
2016-12-09,40.459999,40.560001,40.369999,40.389999,40.389999,4900
2016-12-12,40.230000,40.230000,39.009998,39.150002,39.150002,11800
2016-12-13,38.160000,39.400002,38.160000,39.400002,39.400002,1800
2016-12-14,39.060001,39.060001,38.840000,39.049999,39.049999,1600
2016-12-15,39.119999,39.189999,39.000000,39.099998,39.099998,22100
2016-12-16,39.200001,39.200001,38.860001,38.860001,38.860001,2800
2016-12-19,39.200001,39.250000,39.119999,39.250000,39.250000,2200
2016-12-20,39.220001,39.220001,38.580002,39.070000,39.070000,5000
2016-12-21,38.619999,38.919998,38.619999,38.740002,38.740002,4300
2016-12-22,38.680000,38.680000,38.680000,38.680000,38.680000,1200
2016-12-23,38.700001,38.910000,38.700001,38.830002,38.830002,4800
2016-12-27,38.549999,38.660000,38.549999,38.660000,38.660000,600
2016-12-28,38.849998,38.900002,38.639999,38.900002,38.900002,2000
2016-12-29,38.900002,38.900002,38.599998,38.610001,38.610001,2600
2016-12-30,38.500000,38.500000,38.200001,38.200001,38.200001,1900
